N,true_gamma,sim,prs_r2,wg_power,wg_gamma,wg_pval,pc_power,pc_gamma,pc_pval,cd_power,cd_gamma,cd_pval
5000,-0.1,73,0.0032177510296287986,0,0.007929313158951479,0.43449180749399896,0,0.00044590255731075747,0.8930808613255419,0,0.0005398275792464578,0.9698557711796405
5000,-0.1,74,0.0009578169910608994,0,-0.00026487714543979796,0.9796800162108135,0,-0.0005891516069613901,0.31237714926771587,0,-0.015108576285110996,0.29694840137959777
5000,-0.1,75,0.0009917246780168807,0,-0.01362077216509123,0.17306234246870053,1,-0.001547559418382168,0.025548762438635353,0,-0.01479164207997315,0.2850553454088175
5000,-0.1,76,0.0025271908592417987,0,0.0037881882632223715,0.7083878933281821,0,-0.00033654643962692505,0.9685307799826578,0,0.016905134961285897,0.23410076774600122
5000,-0.1,77,0.0010737535161710542,0,0.009989003358346418,0.318681818086509,0,0.000136961495978179,0.6952257357147511,0,0.009870764026036788,0.4854287824394461
5000,-0.1,78,0.004702954997028937,0,0.0064103655748901445,0.5330871364025089,0,0.0016680413892789722,0.19329996313359654,0,-0.0013201168812175612,0.9271171606529439
5000,-0.1,79,0.0006338379672318049,0,-0.00025875276571383707,0.979493197657266,0,0.0001517363310981754,0.7454054644059065,0,-0.0006920986596154356,0.9609026196643105
5000,-0.1,80,0.0010789216077143036,0,-0.017011769779924812,0.08915804692812423,0,-0.001436299704185855,0.3958063387738544,0,-0.0070550326847515065,0.6184196705052805
5000,-0.1,81,0.0011090414543968557,0,0.00016453238482204337,0.9869282313955225,0,-0.0005755037888319574,0.7827704393128081,0,-0.010745352289924043,0.45608177250349136
5000,-0.1,82,0.0017894799953701026,0,-0.0019708236133894027,0.8377491319934929,0,-0.00015902281976999877,0.3314543077105976,0,-0.008296671066471594,0.5459486015880468
5000,-0.1,83,0.0022678364542799813,0,0.018341894741307575,0.06354835562448333,1,0.000959565872099676,0.04423103459789146,0,0.01366351005889158,0.3365779141074834
5000,-0.1,84,0.0005893188017813454,0,-0.005602125364905075,0.5652924111657638,0,0.0009122647508105811,0.6517491162690752,0,-0.011124938587980691,0.42127142208926505
5000,-0.1,85,2.0294175533011245e-05,0,0.005050065305396551,0.6212008156430786,0,0.00016461893950733237,0.8615807108360987,0,-0.019560431158077658,0.17464396053392967
5000,-0.1,86,0.002735308972258381,0,-0.018456802210051068,0.06417744430512573,1,-0.0013224234796989334,0.007687967467062462,0,-0.0082788250188284,0.555030332103606
5000,-0.1,87,0.0016043776391687088,0,-0.0020388219295255387,0.8443760610425697,1,0.000253853082035465,0.048958066545719325,0,-0.0017315708536490642,0.9038975379698301
5000,-0.1,88,0.00022417944529093547,0,-0.00986117739990877,0.3290168693123485,1,-0.00041334668936143093,0.04376210898708699,0,0.008107589308972936,0.5690249596388288
5000,-0.1,89,0.002298635613031548,0,0.010812648204352293,0.28051377033263886,0,-0.0001342148270321619,0.5984140228804873,0,-0.0006099187266509196,0.9650193411716173
5000,-0.1,90,0.0020355163009203175,0,0.0028689349009224253,0.7763275372019992,0,-0.0010216262882423467,0.09691167249545818,0,-0.0063387600108781444,0.6530362553175812
5000,-0.1,91,0.0017884727059561813,0,0.015168363324725254,0.1360269487867333,0,0.0010761364708059655,0.797396888902039,0,0.019514151942815597,0.17190709879455987
5000,-0.1,92,0.002716140108697554,0,-0.0076503182181742405,0.43676418859579846,0,-0.0006704300961785061,0.6233157899173897,0,-0.027165682315368277,0.05527063934630009
5000,-0.1,93,0.001541498572684707,0,0.004316000988393668,0.665981028409047,0,0.0004074757084376775,0.4214205964199085,0,0.0023721354056747317,0.8679423090608434
5000,-0.1,94,0.0021322053560548144,0,0.01599259322855101,0.12045430073780007,0,0.0013488768110176347,0.9322453777701653,0,0.02538770377741433,0.0783641610704229
5000,-0.1,95,0.004106927299202445,0,-0.003209058987522603,0.7485935536677382,0,-0.00025772786867421803,0.9369210189395345,0,-0.002694370927044322,0.8478813772959171
5000,-0.1,96,0.001442901067898336,0,-0.00332879893275119,0.7377740599338678,0,0.00015079233877140282,0.49561008600618783,0,-0.0142393965508366,0.31228929662962834
